Parody,Count
original,67410
touhou project,25988
kantai collection,15806
the idolmaster,13912
pokemon,13488
fate grand order,9056
blue archive,8550
genshin impact,4016
hololive,3974
azur lane,3972
my little pony friendship is magic,3786
granblue fantasy,3768
to love-ru,3422
mahou shoujo lyrical nanoha,3254
ben 10,3044
gochuumon wa usagi desu ka,3044
princess connect,3024
the simpsons,2944
cardcaptor sakura,2878
fate kaleid liner prisma illya,2714
naruto,2322
the loud house,2076
sonic the hedgehog,2056
girls und panzer,2010
bakemonogatari,1944
ore no imouto ga konna ni kawaii wake ga nai,1916
star vs. the forces of evil,1890
ojamajo doremi,1838
sailor moon,1832
kono subarashii sekai ni syukufuku o,1792
puella magi madoka magica,1662
toaru project,1600
k-on,1562
lucky star,1498
league of legends,1370
flower knight girl,1292
vocaloid,1244
girls frontline,1222
sword art online,1180
zero no tsukaima,1142
strike witches,1124
boku wa tomodachi ga sukunai,1118
neon genesis evangelion,1056
love live,1020
pripara,1010
avatar the last airbender,998
mitsudomoe,990
mahou sensei negima,948
bleach,946
the melancholy of haruhi suzumiya,894
the legend of zelda,890
hayate no gotoku,888
rozen maiden,874
arknights,846
eromanga sensei,842
kobayashi-san-chi no maid dragon,824
boruto,810
koikatsu,802
kemono friends,800
code geass,798
fairy tail,772
smile precure,768
detective conan,746
ragnarok online,742
higurashi no naku koro ni,728
youkai watch,722
digimon,716
love hina,708
voiceroid,688
fate stay night,674
one punch man,670
martian successor nadesico,664
splatoon,658
toradora,650
hyperdimension neptunia,642
one piece,628
disgaea,618
youjo senki,610
kodomo no jikan,604
fushigiboshi no futagohime,604
doraemon,594
power pack,594
karakai jouzu no takagi-san,594
etrian odyssey,592
sennen sensou aigis,592
the last of us,558
nijisanji,558
saki,556
digimon adventure,554
sister princess,538
yu-gi-oh,524
the fairly oddparents,524
the incredibles,514
shinrabansho,502
chuunibyou demo koi ga shitai,502
infinite stratos,496
gravity falls,496
re zero kara hajimeru isekai seikatsu,484
punishing gray raven,482
heartcatch precure,476
elsword,472
mamono musume zukan,470
shakugan no shana,468
amagi brilliant park,464
resident evil,456
dokidoki precure,454
spy x family,454
steven universe,450
watashi ni tenshi ga maiorita,450
aikatsu,446
onii-chan wa oshimai,442
the powerpuff girls,440
tera,434
lilo and stitch,430
ichigo mashimaro,424
dragon quest v,424
ah my goddess,420
sakura taisen,420
megaman,420
my hero academia,418
animal crossing,412
ro-kyu-bu,406
super mario brothers,400
non non biyori,396
yuruyuri,394
star wars,384
powerpuff girls z,382
suite precure,378
made in abyss,378
lotte no omocha,376
dragon ball,372
ryuuou no oshigoto,364
idol wars z,362
harry potter,352
pretty cure,346
accel world,346
super robot wars,344
bang dream,344
dragon quest,340
angel beats,340
monster hunter,336
azumanga daioh,332
futari wa pretty cure,332
overwatch,330
yotsubato,326
samurai spirits,324
tsukihime,322
gegege no kitarou,322
uma musume pretty derby,322
tenchi muyo,314
tantei opera milky holmes,314
toheart2,312
digimon tamers,312
alice in wonderland,308
phineas and ferb,308
macross frontier,306
the legend of heroes,306
shinryaku ika musume,306
kiniro mosaic,306
goblin slayer,302
dead or alive,300
hey arnold,296
final fantasy xiv,294
yama no susume,292
mushoku tensei,288
galaxy angel,286
hentai ouji to warawanai neko,286
blazblue,284
dog days,284
xenogears,280
cardfight vanguard,280
honkai gakuen,280
hilda,280
jackie chan adventures,276
the owl house,276
maho girls precure,272
qualidea code,272
queens blade,268
persona 4,262
kirakira precure a la mode,260
the elder scrolls,256
ano hi mita hana no namae wo bokutachi wa mada shiranai,254
puella magi madoka magica side story magia record,254
komi-san wa komyushou desu.,254
summon night,250
teen titans,250
its not my fault that im not popular,250
hugtto precure,250
kimetsu no yaiba,250
dragon quest iii,248
mon colle knights,248
kannagi,246
the legend of korra,244
sekai seifuku bouryaku no zvezda,238
rwby,234
nichijou,232
tsugumomo,232
senran kagura,232
date a live,232
fate zero,230
tamako market,230
love live sunshine,230
midnight girls,230
chobits,228
the world god only knows,228
spider-man,228
world of warcraft,226
final fantasy vii,224
peace hame,224
king of fighters,222
spice and wolf,222
zettai karen children,222
wakfu,222
kill la kill,222
darkstalkers,220
zettai junpaku mahou shoujo,220
sora no otoshimono,220
keroro gunsou,216
yes precure 5,216
tengen toppa gurren lagann,214
minami-ke,212
wreck it ralph,212
go princess precure,212
rance,210
soul eater,210
kino no tabi,210
clannad,210
no game no life,210
new game,210
kiratto pri chan,210
guilty gear,206
inu x boku ss,202
kamihime project,202
tokyo necro suicide mission,202
thundercats,200
persona 5,200
adventure time,198
highschool dxd,198
tensei shitara slime datta ken,198
chousoku henkei gyrozetter,196
the amazing world of gumball,194
onegai teacher,192
inspector gadget,192
brandish,192
working,192
kyoukai senjou no horizon,190
little red riding hood,188
onegai my melody,186
final fantasy,186
koihime musou,186
yu-gi-oh zexal,186
little busters,184
overlord,184
arcana heart,182
oda nobuna no yabou,182
ashita no nadja,180
ore twintail ni narimasu.,180
fun fun pharmacy,178
senki zesshou symphogear,178
yahari ore no seishun love come wa machigatteiru,178
uchuu no stellvia,176
little witch academia,176
star twinkle precure,176
dragon ball z,174
happinesscharge precure,174
to heart,172
gundam zz,172
street fighter,172
rosario vampire,172
monster girl quest,172
five nights at freddys,172
gakkou no kaidan,170
tate no yuusha no nariagari,170
peanuts,168
skullgirls,168
dragon quest xi,168
gj-bu,166
log horizon,166
final fantasy xi,164
yuyushiki,164
dungeon ni deai o motomeru no wa machigatteiru darou ka,164
bomber girl,164
honkai star rail,164
pangya,162
darker than black,162
anyamaru tantei kiruminzoo,162
libertys kids,162
black bullet,162
xenoblade chronicles 2,162
bakusou kyoudai lets and go,160
pretty sammy,160
battle spirits,160
selector infected wixoss,160
inside out,160
puyo puyo,156
dungeon fighter online,156
danganronpa,156
undertale,156
hataraku saibou,156
cosmic baton girl comet-san,154
dennou coil,154
the ring,154
inazuma eleven,154
frozen,154
puzzle and dragons,152
gunslinger girl,148
dora the explorer,148
shingeki no kyojin,148
otogi-jushi akazukin,146
bamboo blade,146
hyouka,146
eureka 7,144
dragon ball gt,144
mai-hime,142
vividred operation,142
yuru camp,142
7th dragon,140
baka to test to shoukanjuu,140
quiz magic academy,138
berserk,138
monster musume no iru nichijou,138
papa no iu koto wo kikinasai,138
dorei to no seikatsu,138
dragon ball super,136
utawarerumono,134
mega man star force,134
akazukin chacha,134
fosters home for imaginary friends,134
maplestory,134
haiyore nyaruko-san,134
gundam build fighters,134
the ghost and molly mcgee,132
gotoubun no hanayome,130
amphibia,130
makai tenshi jibril,128
shugo chara,128
hidamari sketch,128
mobile suit gundam tekketsu no orphans,128
little witch nobeta,128
kirby,126
mahoujin guru guru,126
fire emblem awakening,126
ultraman,124
sword art online alternative gun gale online,124
beatmania,122
tales of xillia,122
outbreak company,122
medabots,120
kim possible,120
ecoko,120
angelic layer,120
another,120
yoru no yatterman,120
smite,120
bocchi the rock,120
cowboy bebop,118
tales of vesperia,118
atelier totori,118
he is my master,116
ar tonelico,116
dexters laboratory,116
denpa onna to seishun otoko,116
gintama,114
kanon,114
gosick,114
the walking dead,114
gate - jieitai kano chi nite kaku tatakaeri,114
kizuato,112
tonari no miko-san wa minna warau,112
nekopara,112
black rock shooter,112
shirobako,112
warship girls,112
inuyasha,110
moetan,110
inyouchuu,110
yosuga no sora,110
tales of symphonia,108
gundam,108
sono hanabira ni kuchizuke o,108
inma kourin devil carnival,108
sono bisque doll wa koi o suru,108
danny phantom,106
umineko no naku koro ni,106
w.i.t.c.h.,106
tenshi no 3p,106
oban star-racers,106
animaniacs,104
zootopia,104
dororo,102
code lyoko,100
fire emblem,100
atomic betty,100
touken ranbu,100
os-tan,98
mai-otome,98
alvin and the chipmunks,98
ano natsu de matteru,98
saenai heroine no sodatekata,98
kuma miko,98
kunoichi tsubaki no mune no uchi,98
witchblade,96
maria-sama ga miteru,96
kaitou tenshi twin angel,96
kuroinu kedakaki seijo wa hakudaku ni somaru,96
brave girl ravens,96
pani poni dash,94
ace attorney,94
my life as a teenage robot,94
sayonara zetsubou sensei,94
ed edd n eddy,94
cyberpunk,94
kill me baby,92
jahy-sama wa kujikenai,92
shokugeki no soma,90
hitsugi no chaika,90
fire emblem if,90
di gi charat,88
kimikiss,88
shaman king,88
spirited away,88
baby princess,88
super radical gag family,88
eiyuu senki,88
photo kano,88
energy kyouka,88
psychonauts,88
ijiranaide nagatoro-san,88
miru tights,88
hamtaro,86
fire emblem mystery of the emblem,86
konjiki no gash,86
hotel transylvania,86
teekyuu,86
akame ga kill,86
seto no hanayome,84
black cat,84
gunparade march,84
magic knight rayearth,84
kiddy grade,84
cave story,84
love plus,84
jewelpet tinkle,84
crash bandicoot,84
akuma no riddle,84
dagashi kashi,84
sousou no frieren,84
read or die,82
demonbane,82
zoids genesis,82
arthur,82
wonder woman,82
sewayaki kitsune no senko-san,82
turning red,82
super doll licca-chan,80
mega man legends,80
hibike euphonium,80
blend s,80
last origin,80
tropical-rouge precure,80
fate hollow ataraxia,78
hanasaku iroha,78
ok k.o. lets be heroes,78
jashin-chan dropkick,78
onegai twins,76
fullmetal alchemist,76
shin megami tensei,76
the addams family,76
mass effect,76
genshiken,74
seiken densetsu 3,74
xenosaga,74
shuukan watashi no onii-chan,74
ranma 12,74
fallout,74
dream c club,74
steinsgate,74
nagi no asukara,74
phantasy star online 2,74
omori,74
da capo,72
comic party,72
bakugan,72
cooking idol ai mai main,72
borderlands,72
sengoku collection,72
mujaki no rakuen,72
world trigger,72
wolfwalkers,72
kingdom hearts,70
air,70
joshiraku,70
kamisama minarai himitsu no cocotama,70
gundam build divers,70
ayakashi rumble,70
tsukuyomi moon phase,68
tokimeki memorial,68
tales of the abyss,68
hunter x hunter,68
yumekui merry,68
solatorobo,68
a hat in time,68
senpai ga uzai kouhai no hanashi,68
machikado mazoku,68
fruits basket,66
fushigi no umi no nadia,66
tomb raider,66
amagami,66
ookami-san to shichinin no nakama-tachi,66
ikoku meiro no croisee,66
kore wa zombie desu ka,66
chihayafuru,66
joshi shougakusei hajimemashita,66
high school fleet,66
shadowverse,66
gabriel dropout,66
isekai maou to shoukan shoujo no dorei majutsu,66
sound voltex,66
2x2 shinobuden,64
hajimete no orusuban,64
kanokon,64
goof troop,64
south park,64
beat blades haruka,64
taimanin asagi,64
taimanin yukikaze,64
suisei no gargantia,64
silver spoon,64
owari no seraph,64
utawarerumono itsuwari no kamen,64
